date,open,high,low,close,volume,openint,SMA_20,daily_return,volatility_20,OBV,Volume_SMA_20,Volume_Spike,Stoch_K,Stoch_D,ROC_10,log_return,target
1990-04-23,0.06599,0.06599,0.06599,0.06599,8156839,0,0.0672635,0.0,0.003110290687041124,-16383392.0,20867908.7,0,100.0,100.0,0.0,0.0,0
1990-04-24,0.06599,0.06599,0.06599,0.06599,13559872,0,0.0672635,0.0,0.003110290687041124,-16383392.0,18975104.25,0,100.0,100.0,0.0,0.0,0
1990-04-25,0.06599,0.06599,0.06599,0.06599,8888863,0,0.066839,0.0,0.002613166862760887,-16383392.0,18403428.6,0,100.0,100.0,0.0,0.0,0
1990-04-26,0.06599,0.06599,0.06599,0.06599,14396469,0,0.0664145,0.0,0.0018984217128973164,-16383392.0,18490574.3,0,100.0,100.0,0.0,0.0,1
1990-04-27,0.06599,0.06599,0.06599,0.06599,5995628,0,0.06599,0.0,0.0,-16383392.0,17741121.45,0,100.0,100.0,0.0,0.0,1
1990-04-30,0.06599,0.06599,0.06599,0.06599,43363700,0,0.06599,0.0,0.0,-16383392.0,18074018.05,1,100.0,100.0,0.0,0.0,1
1990-05-07,0.07448,0.07448,0.07448,0.07448,17742864,0,0.06726349999999999,0.0,0.003110290687041124,-6623076.0,18047874.45,0,100.0,100.0,12.86558569480225,0.0,0
1990-05-08,0.07448,0.07448,0.07448,0.07448,17603430,0,0.067688,0.0,0.003484222483681186,-6623076.0,18492317.45,0,100.0,100.0,12.86558569480225,0.0,0
1990-05-09,0.07448,0.07448,0.07448,0.07448,12409546,0,0.06811249999999999,0.0,0.003771781479131024,-6623076.0,16998640.05,0,100.0,100.0,12.86558569480225,0.0,0
1990-05-10,0.07448,0.07448,0.07448,0.07448,5298458,0,0.06853699999999999,0.0,0.00399167831738402,-6623076.0,15703655.0,0,100.0,100.0,12.86558569480225,0.0,0
1990-05-11,0.07448,0.07448,0.07448,0.07448,36984635,0,0.0689615,0.0,0.004154670517052249,-6623076.0,16700601.95,1,100.0,100.0,12.86558569480225,0.0,0
1990-05-14,0.07448,0.07448,0.07448,0.07448,18997762,0,0.06938599999999999,0.0,0.0042672836176758,-6623076.0,17218247.35,0,100.0,100.0,12.86558569480225,0.0,0
1990-05-15,0.07448,0.07448,0.07448,0.07448,29943260,0,0.0698105,0.0,0.00433344699918401,-6623076.0,18290139.35,1,100.0,100.0,12.86558569480225,0.0,0
1990-05-16,0.07448,0.07448,0.07448,0.07448,23633919,0,0.07023499999999999,0.0,0.004355278104601488,-6623076.0,17941556.9,0,100.0,100.0,12.86558569480225,0.0,-1
1990-05-17,0.07448,0.07448,0.07448,0.07448,8540278,0,0.0706595,0.0,0.004333446999184012,-6623076.0,16775547.35,0,100.0,100.0,0.0,0.0,-1
