date,open,high,low,close,volume,openint,SMA_20,daily_return,volatility_20,OBV,Volume_SMA_20,Volume_Spike,Stoch_K,Stoch_D,ROC_10,log_return,target
2012-07-27,24.48,25.44,24.32,25.33,100051,0,24.738999999999997,0.037264537264537045,0.6163124634725299,439508.0,813562.5,0,81.13772455089813,64.27416905319792,4.755996691480546,0.036586995331025024,1
2012-07-30,25.25,25.45,25.05,25.39,84203,0,24.7785,0.0023687327279906523,0.6320499230781994,523711.0,271653.95,0,82.93413173652694,70.99496658856198,4.142739950779339,0.002365931703003341,1
2012-07-31,25.44,27.56,25.41,27.0,283931,0,24.89,0.06341079165025598,0.8038263755969094,807642.0,253017.9,0,88.66396761133605,84.24527463292037,11.248454882571068,0.061481470287741986,1
2012-08-01,27.32,27.98,26.76,27.71,111834,0,25.009999999999998,0.026296296296296262,1.0199225976823727,919476.0,238557.2,0,93.54066985645933,88.37958973477411,14.362360709863808,0.02595649287055794,0
2012-08-02,27.5,29.3,27.0,29.08,556879,0,25.166,0.04944063514976538,1.3560833695843186,1476355.0,239353.2,1,95.99999999999996,92.73487915593178,21.166666666666668,0.048257293790431526,-1
2012-08-03,29.43,31.43,28.58,28.67,430928,0,25.307499999999997,-0.014099037138927017,1.5621101618947173,1045427.0,243148.75,1,63.346613545816766,84.29576113409202,13.634562029330176,-0.014199372770040068,1
2012-08-06,29.0,29.16,27.23,28.02,583736,0,25.445,-0.022671782350889513,1.6755470434269657,461691.0,264718.75,1,54.714475431606914,71.35369632580789,15.071868583162207,-0.02293273898641761,1
2012-08-07,28.3,28.75,27.79,28.0,197951,0,25.592499999999998,-0.0007137758743753775,1.7663309429435936,263740.0,259417.85,0,54.44887118193892,57.503320053120866,12.721417069243145,-0.0007140307336569516,1
2012-08-08,27.91,27.91,27.01,27.57,296624,0,25.784,-0.015357142857142847,1.7625322692081429,-32884.0,259425.1,0,48.73837981407704,52.63390880920762,10.589651022864022,-0.01547628513949854,1
2012-08-09,27.48,30.02,27.3,29.51,135433,0,26.055500000000002,0.0703663402248822,1.899156253098785,102549.0,249925.45,0,74.468085106383,59.21844536746632,20.843570843570845,0.06800096391914275,1
