date,open,high,low,close,volume,openint,SMA_20,daily_return,volatility_20,OBV,Volume_SMA_20,Volume_Spike,Stoch_K,Stoch_D,ROC_10,log_return,target
1999-02-19,1.5494,1.6423,1.5311,1.6145,520268,0,1.519775,0.035865520338765666,0.07887631807222988,886942.0,2082379.45,0,75.06738544474393,63.360287511230894,8.771811628377012,0.03523732878886945,1
1999-02-22,1.6423,1.6607,1.5401,1.6238,1396542,0,1.52489,0.005760297305667406,0.08223936757385336,2283484.0,1237324.9,0,77.57412398921828,70.88050314465407,6.0544706420220695,0.005743770230016194,1
1999-02-23,1.6607,1.735,1.5679,1.698,944178,0,1.525825,0.04569528267027967,0.08417090930769493,3227662.0,1112269.85,0,90.27339642481594,80.97163528625939,15.103036876355747,0.04468200644294661,1
1999-02-24,1.9482,2.0318,1.7905,1.837,4139829,0,1.540205,0.08186101295641923,0.10924345325440495,7367491.0,1203211.65,1,70.00307976593777,79.28353339332399,29.40264863341786,0.07868271834383295,-1
1999-02-25,1.9114,1.9761,1.7539,1.7812,1005937,0,1.5517949999999998,-0.03037561241154063,0.12184027281218372,6361554.0,1170375.6,0,61.41053279950721,73.89566966342032,26.290414066931355,-0.030846511767578418,-1
1999-02-26,1.7999,1.8557,1.6793,1.698,1180222,0,1.55969,-0.046710083090051646,0.12608445331769116,5181332.0,1152381.2,0,48.59870649830611,60.00410635458369,10.900659656456146,-0.04783620657625468,-1
1999-03-01,1.735,1.7812,1.6238,1.707,624384,0,1.57174,0.005300353356890497,0.12815838638185167,5805716.0,1100645.5,0,49.98460117031106,53.33128015604146,5.729327965314335,0.0052863559231480246,-1
1999-03-02,1.698,1.707,1.6607,1.6886,381552,0,1.58148,-0.010779144698301102,0.1293203146820857,5424164.0,1067405.35,0,47.151216507545435,48.578174725387534,3.990639241285887,-0.01083766055904105,-1
1999-03-03,1.698,1.698,1.5679,1.5772,427792,0,1.59122,-0.06597181096766558,0.12057739423291582,4996372.0,999825.55,0,26.842613453492092,41.32614371044952,2.408934484773706,-0.0682486602319275,1
1999-03-04,1.6513,1.6607,1.5311,1.5401,403539,0,1.597705,-0.023522698452954516,0.11362809361198815,4592833.0,994102.3,0,14.516689847009753,29.503506602682425,-1.1869626587963533,-0.023803773639052183,1
1999-03-05,1.5586,1.6329,1.5586,1.6238,538052,0,1.60468,0.054347120316862396,0.1105400075228779,5130885.0,958905.9,0,29.068150208623084,23.475817836374976,0.5760297305667406,0.05292173206392611,1
1999-03-08,1.5864,1.698,1.5586,1.6513,526088,0,1.61069,0.016935583199901405,0.10959249350014333,5656973.0,938648.1,0,26.742395071236043,23.442411708956296,1.6935583199901405,0.01679377504059651,0
1999-03-09,1.6513,1.7258,1.6513,1.707,979747,0,1.62228,0.03373099981832506,0.10672919296789875,6636720.0,935640.95,0,36.351165980795614,30.72057042021825,0.5300353356890497,0.03317458732549806,-1
1999-03-10,1.7258,1.7258,1.6513,1.6793,1586024,0,1.635265,-0.016227299355594638,0.09603485811768682,5050696.0,985533.65,1,29.598562013181564,30.897374355071076,-8.584648884050083,-0.016360403893478447,-1
1999-03-11,1.6513,1.6793,1.6052,1.6052,371203,0,1.645005,-0.04412552849401541,0.08067917930720568,4679493.0,953376.65,0,14.799281006590782,26.91633633352265,-9.880979115203225,-0.04512868050820058,0
1999-03-12,1.6145,1.6145,1.5494,1.5772,627942,0,1.6473100000000003,-0.017443309244953964,0.07786303021128992,4051551.0,939731.45,0,9.207110045935693,17.868317688569345,-7.114252061248527,-0.017597236389289613,0
1999-03-15,1.6145,1.6607,1.6052,1.6423,745320,0,1.6487000000000003,0.041275678417448836,0.07749374847451641,4796871.0,939262.7,0,22.208907529458788,15.405099527328423,-3.79027533684827,0.04044657534004332,0
1999-03-16,1.6513,1.67,1.5772,1.5864,542255,0,1.64683,-0.03403763015283445,0.07857000967960145,4254616.0,894430.45,0,12.426966292134859,14.614327955843114,-6.052351060049754,-0.034630400137929035,-1
1999-03-17,1.6052,1.6329,1.5586,1.5957,358591,0,1.6496099999999998,0.005862329803328237,0.07551928927520184,4613207.0,889450.7,0,19.901417128773875,18.17909698345584,1.1729647476540705,0.005845213210795314,-1
1999-03-18,1.6052,1.6423,1.5679,1.6238,323995,0,1.65287,0.01760982640847275,0.07273994124710038,4937202.0,881173.0,0,37.06517393042783,23.131185783778857,5.43471203168624,0.017456570011964476,-1
1999-03-19,1.6145,1.67,1.6145,1.6238,726563,0,1.6533349999999998,0.0,0.0725111118526347,4937202.0,891487.75,0,47.611710323574705,34.8594337942588,0.0,0.0,-1
1999-03-22,1.6607,1.6607,1.5772,1.5772,258678,0,1.651005,-0.028698115531469393,0.074238240075272,4678524.0,834594.55,0,23.677452491011817,36.118112248338115,-4.487373584448617,-0.029117958424873972,-1
1999-03-23,1.5864,1.5864,1.4473,1.4752,1107467,0,1.639865,-0.06467156987065681,0.08301296205064057,3571057.0,842759.0,0,10.017953321364466,27.102372045316997,-13.579379027533689,-0.06685754920114267,1
1999-03-24,1.466,1.4752,1.4104,1.466,422290,0,1.6213149999999998,-0.006236442516269092,0.07793947229809366,3148767.0,656882.05,0,17.628408370323363,17.107938060899883,-12.701720955159889,-0.006255970355732692,1
