date,open,high,low,close,volume,openint,SMA_20,daily_return,volatility_20,OBV,Volume_SMA_20,Volume_Spike,Stoch_K,Stoch_D,ROC_10,log_return,target
2012-08-16,63.5,66.91,61.87,66.5,371863,0,58.0545,0.06009883628248058,3.78276211392235,1338756.0,687805.95,0,97.21088435374152,82.08812743204277,20.68965517241379,0.058362145553156664,0
2012-08-17,67.1,68.5,64.84,67.29,384557,0,58.7625,0.01187969924812049,4.122435247329062,1723313.0,356230.95,0,92.57213014119095,92.12245887828338,22.814382186530402,0.011809689538418372,-1
2012-08-20,66.78,67.15,64.97,65.47,269987,0,59.46049999999999,-0.02704710952593259,4.0101364657183645,1453326.0,330311.1,0,80.10505581089953,89.962690101944,19.514421321650243,-0.0274196147472267,0
2012-08-21,65.48,66.43,63.28,64.32,247566,0,59.9015,-0.017565297082633324,4.0365582981962245,1205760.0,306854.25,0,72.55416940249503,81.74378511819516,13.239436619718315,-0.01772139758228913,0
2012-08-22,65.06,65.17,63.12,63.25,124552,0,60.11650000000001,-0.016635572139303334,4.097270304406139,1081208.0,283101.45,0,64.5748987854251,72.41137466627323,3.807648120794349,-0.01677549726308116,0
2012-08-23,63.2,64.88,62.5,64.14,215203,0,60.329499999999996,0.01407114624505934,4.1939184980660995,1296411.0,272471.55,0,70.58029689608637,69.23645502800217,4.581770748410241,0.013973066657379293,0
2012-08-24,63.45,65.77,63.25,64.77,202875,0,60.717999999999996,0.009822263797941932,4.228997143780688,1499286.0,274947.7,0,73.31902718168809,69.49140762106653,5.626223091976512,0.00977433892981675,0
2012-08-27,65.05,65.84,62.62,63.69,176942,0,61.152499999999996,-0.016674386289948995,4.053363612969767,1322344.0,269975.15,0,61.91607284243863,68.6051323067377,1.5465561224489832,-0.0168149688115512,1
2012-08-28,63.7,64.41,62.91,63.9,104152,0,61.49050000000001,0.0032972209138011355,3.982389490322555,1426496.0,260912.7,0,57.40740740740738,64.2141691438447,6.856187290969906,0.0032917970002146117,1
2012-08-29,64.22,65.1,63.1,64.73,161989,0,61.918000000000006,0.012989045383411613,3.838632706137896,1588485.0,263471.7,0,65.09259259259262,61.47202428081288,3.1882671767894166,0.01290541117392973,1
2012-08-30,64.71,66.67,63.27,63.43,229854,0,62.33449999999999,-0.02008342345125913,3.4966035776088984,1358631.0,266665.85,0,53.05555555555554,58.51851851851851,-4.616541353383463,-0.020287836911613105,1
2012-08-31,64.48,64.58,63.1,64.38,92236,0,62.814,0.014977140154500912,3.0345786146384537,1450867.0,256735.5,0,61.851851851851805,59.99999999999999,-4.324565314311202,0.014866090224856224,1
2012-09-04,65.3,70.28,63.9,70.21,767801,0,63.5855,0.09055607331469395,2.8397191762566933,2218668.0,287314.35,1,99.44356120826703,71.45032287189146,7.239957232320138,0.08668772515849532,-1
2012-09-05,72.61,72.61,69.12,70.0,472975,0,64.2455,-0.0029910269192421346,2.710669901664434,1745693.0,292676.5,1,75.69832402234637,78.99791236082173,8.83084577114428,-0.0029955089797983397,-1
2012-09-06,70.71,72.0,70.38,71.41,224733,0,64.7695,0.020142857142857018,3.030137177718111,1970426.0,278716.25,0,88.13056379821955,87.757483009611,12.901185770750988,0.019942673511659518,-1
2012-09-07,72.16,72.22,69.36,70.74,589945,0,65.24,-0.009382439434252876,3.1940915848847533,1380481.0,293582.0,1,81.50346191889214,81.77744991315268,10.289990645463032,-0.009426731783684038,-1
2012-09-10,71.51,72.6,71.13,71.75,1378804,0,65.7615,0.014277636415040984,3.3671529047862636,2759285.0,348270.85,1,91.49357072205737,87.04253214638969,10.776594102207815,0.01417667086239592,-1
2012-09-11,66.75,69.74,64.33,66.6,3025834,0,65.9555,-0.07177700348432059,3.2936645324974485,-266549.0,488462.7,1,40.5539070227497,71.18364655456641,4.569006123410269,-0.07448327709338708,0
2012-09-12,67.68,68.25,64.75,64.86,689044,0,66.2085,-0.02612612612612608,2.9748600586281566,-955593.0,499232.4,0,23.343224530168147,51.79690075832507,1.5023474178403662,-0.026473476667171498,1
2012-09-13,64.75,68.23,64.75,67.98,767769,0,66.471,0.04810360777058276,2.881941779608449,-187824.0,524934.05,0,53.65365365365371,39.18359506885719,5.020855862814777,0.046982443388798,0
